,profit_gain,sustained_profit,accumulated_profit_gain,accumulated_sustained_profit,accumulated_profit_gain_ratio
0,0.0,-12.863353727903991,0.0,-12.863353727903991,0.0
1,-22.35871156846215,53.80377565757715,-22.35871156846215,40.94042192967316,-0.5461280200499549
2,-8.877501236546367,11.887570555695833,-31.23621280500852,52.82799248536899,-0.5912814652886832
3,-11.70089699599651,31.86851491840192,-42.93710980100503,84.69650740377091,-0.506952542875379
4,0.0,0.0,-42.93710980100503,84.69650740377091,-0.506952542875379
5,-25.69662755544666,16.44481639850489,-68.63373735645169,101.14132380227579,-0.678592436565551
6,-6.735091771967273,72.03712542078159,-75.36882912841897,173.17844922305738,-0.4352090543976541
7,-61.11495352040369,19.09370005006852,-136.48378264882265,192.2721492731259,-0.7098468663547578
8,-63.86101802328169,4.697363981984289,-200.34480067210433,196.9695132551102,-1.0171360905615
9,-50.91223128560986,4.400904228290202,-251.2570319577142,201.3704174834004,-1.2477355666128374
10,-12.465564482104739,30.21110978798952,-263.7225964398189,231.58152727138992,-1.1387894343177163
11,12.997207134415884,82.88322439499979,-250.72538930540304,314.4647516663897,-0.797308404127256
12,-16.208952058075504,27.54063835995681,-266.93434136347855,342.0053900263465,-0.7804974691858371
13,-14.298365938676852,50.71263142804106,-281.2327073021554,392.71802145438755,-0.7161186702373405
14,1.916965547182194,28.70648802278334,-279.3157417549732,421.4245094771709,-0.6627895043444408
15,-3.0450246783504262,43.6668989987541,-282.36076643332365,465.091408475925,-0.6071081109810261
16,14.039872717895264,62.76709746483657,-268.3208937154284,527.8585059407616,-0.5083197309423303
17,-54.39858106383156,43.990412030042776,-322.71947477925994,571.8489179708043,-0.5643439458177594
18,-48.98537017196726,40.88512449412352,-371.7048449512272,612.7340424649278,-0.6066332522605077
19,-24.05112218122846,55.513831690618375,-395.7559671324556,668.2478741555462,-0.5922292946050384
20,-17.819922498625356,111.79686392165787,-413.575889631081,780.0447380772041,-0.5301950893874856
21,-13.276911117147723,72.70663541377132,-426.85280074822873,852.7513734909754,-0.5005594995418041
22,1.5431137784708682,39.24786480626272,-425.3096869697579,891.9992382972381,-0.47680498896124984
23,-0.24621708936417264,41.88060108160636,-425.55590405912204,933.8798393788445,-0.45568593101032556
24,-14.91768702878857,112.31818299725074,-440.4735910879106,1046.1980223760952,-0.42102315399862783
25,-8.191837830541132,62.7137096150255,-448.66542891845177,1108.9117319911206,-0.4045997674790985
26,-38.08727340125421,52.42019592691558,-486.752702319706,1161.3319279180362,-0.41913314412385616
27,3.7731009822251806,44.181912139681884,-482.9796013374808,1205.513840057718,-0.40064210404615225
28,-15.153133887362426,28.671190903135525,-498.1327352248432,1234.1850309608535,-0.4036126858847336
29,2.256695670335148,11.169937192998042,-495.87603955450805,1245.3549681538516,-0.39818048045338295
30,-30.090747847310944,76.33365567034343,-525.966787401819,1321.688623824195,-0.39795060494655565
31,-1.176278392242203,4.966340380730102,-527.1430657940613,1326.6549642049251,-0.3973475244258271
32,5.306300565704561,2.2543341474396783,-521.8367652283567,1328.9092983523649,-0.3926804981162754
